,S000,S001,S003,S006,S007,S008,S009,S010,S011,S012,S013,S014,S017,S018,S019,S020,S021,S022,S026,S027,S029,S030,S031,S032,S033,S034,S035,S036,S040,S041,S043,S044,S045,S046,S047,S048,S049,S050,S052,S053,S055,S056,MRAM
66,214231,88091,340286,99671,65154,84568,27447,35536,312376,239603,60337,12050,78705,9522,60814,409412,282300,80271,160188,48337,177606,131694,62484,85887,49283,70327,132008,679060,37265,44686,81353,77848,99110,59420,56180,107089,61054,23665,96280,563432,2351,12967,0.4482000806832463
67,226828,80582,385030,127342,62757,88542,30470,57145,366256,295881,50843,19001,92959,2793,23789,553556,230563,48750,191587,53116,168259,107762,59974,96715,42779,47042,81528,736505,13247,52615,92994,87525,96882,54710,50540,71067,41221,20176,29492,683748,2593,12907,0.4496807627770131
68,213277,95090,418587,137412,65545,90927,39221,69294,402399,331872,45361,24235,98710,6355,30737,582521,258756,31857,202239,62781,171816,102836,56087,91740,56069,44555,91344,735549,13943,54860,99620,93310,95536,51815,51145,71849,37370,18736,41800,669262,1608,17352,0.45
69,152057,150988,402101,139950,59840,94238,34907,55140,384075,306057,51927,25184,65712,3333,26001,530025,200503,101802,207928,54948,80122,89429,33285,162805,99957,26460,55987,530598,84129,42770,134693,112992,99055,48780,39516,49311,22261,11845,245919,330564,1001,78155,0.4504863661358653
70,206973,79868,377998,121709,67593,85550,32811,51033,358696,283632,54239,19714,106429,7489,31102,538327,239862,68308,192770,42046,129086,104879,42317,127780,79664,54134,86292,686961,38977,50548,94950,105612,113095,51445,48708,73556,31876,13189,56416,520490,1194,40653,0.4563327566463056
71,157745,128465,416445,159071,61760,105001,30598,35180,391610,302106,65214,23410,65820,3494,24499,623916,204017,78902,196206,50254,89421,99310,29479,137024,81087,29096,65408,573882,68526,46583,123168,103924,101558,46806,40818,51482,24865,10019,199453,364239,1031,61869,0.4592191685824373
72,202801,84946,333393,104609,65324,71649,15136,42116,298834,249525,36292,12760,87985,15564,77988,381815,337293,41280,191348,48578,133943,94625,41013,132967,79366,46167,86181,710416,20493,48242,96765,100737,107777,51638,46661,66699,33443,14190,20981,647280,996,33577,0.46
73,201428,74399,403748,160854,59180,96416,28421,44958,389829,328642,41961,18505,67998,5562,12222,577216,179687,25714,179513,35436,80111,95861,50283,156474,84561,36017,61182,617819,44076,44547,91653,90101,103649,53444,48527,61232,30075,13142,34355,547961,1758,49448,0.4601008436502057
74,213961,58039,311483,90480,56339,69660,29152,45245,290876,215118,59499,15685,121929,8457,41350,459710,277526,63647,236159,50454,85305,84860,35039,160420,133446,50427,57136,634056,100035,58779,92846,123071,131689,56356,41389,60768,23576,11178,116015,504963,3811,113637,0.4621791372941024
75,199451,60322,370348,129694,59911,73303,38608,54450,355966,292019,39849,23236,82203,7769,22038,508618,222418,31565,179798,38487,104272,100906,56071,123794,55050,37883,61282,636986,33023,46284,84566,93780,102131,51028,41888,53654,25657,12392,42117,570654,2471,31599,0.4641314227495061
76,189950,72451,365395,140027,62182,81895,31140,32396,347640,271609,59329,16323,80803,4679,19825,535647,231131,32959,151671,43264,152337,86233,58819,80832,63346,42613,97107,640122,27525,50964,75314,72424,105281,58580,49526,78790,39063,15367,56623,584974,564,11976,0.4664228185413862
77,141331,119529,401701,136597,67403,90265,40514,47197,381976,296981,58492,25983,105895,14347,45595,573415,317555,47349,176652,49142,163332,78843,25185,82811,50796,24478,113834,584461,47707,42462,140441,93702,89500,42060,41118,48077,22570,10013,129600,277325,1299,48850,0.4667429753908848
78,204369,59655,390937,147961,58351,86610,27419,47785,368126,310943,44455,12556,73309,4988,21300,553050,200637,62723,181239,39125,112470,70841,31868,149382,112945,26744,65476,577910,83244,50343,74377,92525,120893,61126,49146,62965,32375,17717,94942,516505,504,69416,0.4685668418444011
79,188051,67168,365524,144964,60561,81525,32481,34455,353986,276925,46829,30089,94733,7859,31236,504522,216787,42442,144301,41087,176149,96220,47992,69961,39045,53634,118625,627843,10297,43160,75783,71897,92810,54072,50634,76272,35375,16687,9380,615756,5049,5439,0.4688487034274829
80,189842,98457,360763,124793,62496,73982,31850,52099,345220,258333,65097,21132,94838,5217,25220,528467,225208,54016,199543,43278,91141,97610,36139,150611,87848,36136,74890,674067,33212,49366,104027,104826,100788,49132,44717,59534,26991,13497,90368,548137,1916,33480,0.4698989574519121
81,161917,117987,331424,97801,66325,85174,34137,27995,311432,258120,36157,16614,139793,5552,40634,473063,325160,89098,209938,88177,109301,107899,62690,127196,68175,43526,85603,605201,57081,56439,119258,99249,101874,46867,45658,60142,30994,13448,192914,442954,945,32166,0.47
82,171562,65358,284698,93623,48055,63007,27528,32911,265124,199616,52440,12631,95548,6448,37169,393774,278191,35350,121653,27251,170086,72632,31338,46481,26631,44693,142356,583318,2606,36324,66155,75611,75011,42867,43750,68253,33671,14810,5689,548815,743,3164,0.4702223707358363
83,188374,81840,333981,101594,65882,71912,36373,38150,313911,226550,65482,20823,103253,10009,41274,479235,279346,34389,173042,56035,159447,83273,59398,72352,52117,45022,102350,661405,19720,52316,80942,74749,96617,53584,46983,69613,37204,18323,26560,614030,670,18586,0.4707926418033961
84,176939,94803,393330,182593,51321,74467,25307,33775,367463,302446,50930,13614,79517,5464,18833,574746,206702,54697,177738,55879,116859,111339,40362,88934,70346,49471,92090,622051,31114,44017,102212,86094,89637,48420,45883,68433,31681,11809,347997,276895,28207,17620,0.4709790936723269
85,172078,94280,412977,152073,75594,98722,29260,31702,387351,324095,42971,19826,78155,6837,53791,480990,251926,93837,183658,44026,170998,107692,45495,88857,46248,52541,105429,632848,47435,48598,107347,99503,99202,49114,46719,70395,39900,12419,175127,444603,1226,24288,0.4730648980143656
86,183055,81462,339324,90520,79025,77708,32059,35735,315047,254971,44098,15690,75875,7921,33615,449187,258351,78512,158449,50569,123774,92709,50090,112839,64052,49551,81468,624254,18734,43810,83227,79468,100545,55430,48789,64436,30553,12525,23792,608221,437,17086,0.476249884272118
87,245005,106080,378799,152806,59028,77203,28640,38910,356587,285717,45335,24803,90981,10187,41221,494492,257673,32486,227224,62712,212474,122182,52228,121717,83352,63316,115758,845571,44083,60834,128569,110018,125863,69814,61609,100290,48194,18190,87152,597331,3281,35591,0.4790642925857098
88,153924,111256,370657,130492,69202,79100,23457,46496,348747,278573,43289,26546,56706,7660,25133,439207,269815,54666,172743,54683,78455,115162,41049,149881,84290,32701,68278,539687,112137,41400,100981,87936,108667,54949,49723,68664,37917,16663,156640,409462,1021,127708,0.48
89,135956,99575,349565,91327,67132,75275,43841,42382,319957,246834,50841,21938,71747,12600,36116,466423,329944,41711,205653,45589,134339,119410,39428,54502,23622,30853,92214,582816,72202,55042,105739,93467,95678,45981,39335,53338,28100,10050,321802,318597,2968,50811,0.4811464835179774
90,185662,115635,306353,94057,66599,60976,27593,29665,278890,193544,67744,16981,98998,6153,36269,424548,339222,80573,170792,54365,107850,130945,46329,97801,74393,73222,110935,620531,42364,41315,95560,78519,84666,45813,51228,85310,47960,18049,203864,442307,7368,21599,0.5
91,156932,100967,349035,93493,55884,78267,33487,69092,330223,266935,44388,18646,98912,5923,34975,488945,271857,79530,190196,44799,142855,102453,34940,54807,33261,32260,112419,695939,2388,50111,92249,87259,82888,45998,45042,63833,27052,12632,12654,214368,2548,2450,0.51
92,147207,78002,376162,129773,77717,74655,47561,27176,356882,259448,63526,32729,79288,3986,16141,497097,266565,59223,209633,56727,102501,119033,44329,85760,44830,31129,77648,576617,86552,53938,92789,89107,111006,52331,41044,51371,22768,9529,284066,309452,1478,58339,0.5185888986877645
93,184003,86353,373025,114109,64137,77877,35319,62528,353970,304979,30450,18271,87299,9186,34398,487663,262355,62792,154413,40855,197692,87286,44603,73232,39208,49549,108351,642246,24626,44630,86638,79006,98862,52366,49172,70997,35751,22004,64286,570798,639,12248,0.54
94,179733,109072,360114,129834,57818,84925,28212,38386,339175,265837,55293,17700,97266,8578,39582,507796,272783,29784,186609,64180,112116,88040,58622,104275,79663,35228,100942,631107,38635,49888,100858,80340,95984,52434,45037,66293,34341,17868,63514,503494,1617,25771,0.55
95,173468,72523,299361,82937,62349,65677,36351,26980,274294,193241,63299,17400,86802,6775,48025,341031,351868,66188,179443,46254,125498,110066,38540,68241,56791,47242,107140,638486,17801,49157,86613,83667,81414,47097,45054,69844,33235,12773,281960,256688,117798,7695,0.58
96,195021,94309,382184,107452,77814,82322,32015,46927,346530,278388,51429,16406,89443,5404,67587,415706,346616,86997,195591,39158,191678,101018,29032,73318,34868,34726,118380,758527,10768,58755,111707,96765,99306,55164,45049,62540,32025,12423,27438,531752,2611,10771,0.62
